a1_price,a1_size,a2_price,a2_size,b1_price,b1_size,b2_price,b2_size,stale_seconds
99.3419,1.0861,99.4412,1.0268,99.2151,0.9164,99.1158,1.6644,0.2373
99.2457,0.9824,99.345,1.2746,99.3195,0.7546,99.2202,1.5325,0.4618
99.2129,0.4822,99.3121,1.3528,99.2651,1.3799,99.1659,0.9134,0.5579
99.3107,1.4878,99.41,1.9389,99.4091,0.4861,99.3097,1.9201,0.7556
99.3349,0.8602,99.4342,1.329,99.2804,1.0977,99.1812,1.7294,0.2588
99.306,0.4372,99.4053,1.5118,99.1957,0.6054,99.0965,1.2151,0.249
99.3378,0.7676,99.4372,0.9288,99.1067,0.5602,99.0076,0.8401,0.0
99.3541,0.9173,99.4535,1.9453,99.3958,0.5272,99.2964,1.9355,0.6782
99.4205,1.1098,99.5199,1.7921,99.4232,0.5176,99.3237,1.4057,0.8722
99.3461,1.1668,99.4454,1.5042,99.1942,1.3161,99.095,0.8867,0.5197
99.3112,0.8171,99.4105,1.2083,99.2478,1.0829,99.1485,1.8692,1.071
99.3103,0.9458,99.4096,1.7897,99.2004,0.8424,99.1012,0.9229,0.0
99.187,1.1897,99.2862,1.6914,98.9941,0.4559,98.8951,1.0653,0.005
99.1839,0.7017,99.2831,1.4571,99.0719,0.559,98.9728,0.9607,0.2746
99.2188,0.7912,99.318,1.7492,99.0531,0.9612,98.9541,0.9534,0.0
99.2461,1.2129,99.3453,1.2763,99.143,0.6892,99.0439,1.2506,0.0
99.2067,0.6661,99.306,1.2782,99.1042,0.4211,99.0051,1.727,0.3892
99.0905,0.588,99.1896,0.8527,98.8565,1.1191,98.7576,1.7287,0.3901
99.0579,0.6259,99.157,1.6847,99.2925,1.1697,99.1932,1.0955,0.8775
99.0193,1.3937,99.1183,0.9252,99.1778,1.481,99.0786,1.8323,0.5387
98.9623,1.1945,99.0613,1.0285,98.84,0.8864,98.7411,0.8858,0.4594
98.9495,0.8286,99.0484,1.6899,98.9641,0.8251,98.8652,1.1964,0.748
98.9675,0.4523,99.0665,1.2626,98.9971,0.5741,98.8981,1.6344,0.4892
99.1506,0.5163,99.2498,1.5978,99.2617,0.7148,99.1625,1.0387,0.2686
99.1488,0.932,99.2479,1.4013,99.0442,0.7538,98.9452,0.9586,0.3829
99.1876,0.814,99.2868,1.6067,99.264,1.2606,99.1648,1.4369,0.0
99.1829,0.7161,99.2821,0.9943,99.0742,0.6742,98.9752,1.0699,0.5379
99.0007,0.9714,99.0997,1.4752,98.8424,1.4394,98.7435,1.0347,0.7856
99.0186,1.0163,99.1177,1.106,99.0635,0.6888,98.9645,0.8471,0.5722
99.0151,0.736,99.1141,1.6935,99.1458,0.4523,99.0466,1.0632,0.7379
99.2305,0.9009,99.3298,1.6377,99.4943,0.8267,99.3948,0.9919,0.6465
99.1853,0.838,99.2844,1.496,99.0308,1.4429,98.9318,0.8825,0.0
99.2302,0.9591,99.3294,0.8288,99.2662,0.7443,99.167,1.7838,0.4313
99.2242,1.0093,99.3235,1.3407,99.1304,0.7141,99.0313,1.1577,0.7863
99.1167,1.4639,99.2158,1.3264,99.1855,0.8327,99.0863,1.8159,0.2654
99.201,0.8696,99.3002,1.4624,99.0336,0.654,98.9346,1.6922,0.8803
99.2843,1.2588,99.3836,1.058,99.0857,1.1872,98.9866,1.7601,0.4497
99.3515,0.7807,99.4508,1.0071,99.215,0.4029,99.1157,1.3411,0.6624
99.2597,0.6068,99.359,1.8316,99.2436,0.6835,99.1444,1.0717,0.0
99.3867,0.9288,99.4861,1.3986,99.2845,0.6366,99.1852,1.1262,0.5865
99.2634,1.2471,99.3626,1.3548,99.3051,1.1855,99.2058,1.6831,0.1181
99.3246,0.5521,99.424,1.9594,99.4031,1.3031,99.3037,1.0454,0.3181
99.4767,0.5522,99.5762,1.6978,99.5547,0.9166,99.4551,1.7395,0.3314
99.4286,1.2209,99.528,1.5255,99.5844,1.155,99.4848,0.822,0.7611
99.3562,0.4103,99.4555,0.8396,99.3732,1.3371,99.2739,1.6208,0.0
99.3677,0.6919,99.4671,1.6256,99.223,1.2717,99.1238,1.1682,0.1334
99.3135,0.941,99.4128,1.7222,99.4513,0.6438,99.3518,1.1234,0.2951
99.1919,0.667,99.2911,1.99,99.1037,0.6171,99.0046,1.4906,0.3134
99.2156,1.0975,99.3148,1.7131,99.2932,1.4846,99.1939,1.0165,0.5166
99.1194,1.2426,99.2185,1.2066,99.304,0.5932,99.2047,1.3057,0.3398
99.1828,0.9913,99.282,1.9942,99.2089,0.839,99.1096,1.5385,0.9034
99.0724,0.8018,99.1714,1.2713,98.8698,1.1652,98.7709,1.9255,0.94
99.2128,0.4981,99.312,1.0534,99.0921,0.9523,98.993,0.824,0.4852
99.1482,0.6781,99.2474,1.4209,99.2769,0.4165,99.1776,1.1175,1.3486
99.1081,1.4183,99.2072,1.5744,99.0893,0.8562,98.9902,1.9164,0.582
99.1779,1.2634,99.2771,1.04,99.1956,0.5439,99.0964,1.611,0.8967
99.0925,1.2127,99.1916,1.5503,99.1845,1.485,99.0853,1.4403,0.5027
99.1143,0.5244,99.2134,1.7939,99.1711,0.677,99.072,1.7328,0.4189
99.2148,1.0556,99.3141,1.3525,99.2062,0.8009,99.107,1.2236,0.4439
99.0919,1.1,99.191,1.7015,99.0464,1.1464,98.9474,1.0381,0.9137
99.1096,0.9233,99.2087,1.4439,99.0492,1.2482,98.9502,1.5935,0.3894
99.1041,0.8503,99.2032,1.8745,99.2111,0.5788,99.1119,1.9946,0.2983
99.187,1.2027,99.2862,1.7732,99.2292,1.3449,99.1299,1.9899,0.5555
99.1106,0.7234,99.2097,1.6523,99.0365,0.5269,98.9375,1.2882,0.2649
98.9849,1.0502,99.0839,1.4045,99.0718,1.1105,98.9727,1.9675,0.7553
99.0338,0.4613,99.1328,1.4888,98.9851,1.3493,98.8861,1.3777,0.4399
99.0411,0.7653,99.1402,0.9859,98.922,1.3339,98.8231,1.4259,0.1223
99.0819,1.4266,99.181,1.7672,98.9698,1.1623,98.8708,0.806,0.0
99.1096,1.4019,99.2087,1.0095,98.9332,0.7147,98.8342,1.4202,0.2881
99.0439,0.6897,99.1429,1.0518,98.9965,1.059,98.8975,0.9067,0.3438
99.0829,1.1927,99.182,1.4658,99.2038,0.8652,99.1046,1.4789,0.2056
99.0681,0.802,99.1672,1.9234,98.956,0.4604,98.857,1.6081,0.4412
99.0061,0.6024,99.1051,1.1551,99.0211,1.1888,98.9221,0.9011,0.453
99.1892,1.293,99.2884,1.6627,99.0771,1.2026,98.978,0.9203,0.7369
99.2288,1.314,99.328,0.8499,99.1622,0.4254,99.0631,1.2476,0.808
99.1026,0.5637,99.2017,1.4701,98.9006,1.4091,98.8017,1.2698,0.6247
99.1616,0.5066,99.2608,1.5277,99.1344,0.8966,99.0353,1.9262,0.3054
99.0725,0.5348,99.1716,1.0544,99.0316,0.4325,98.9325,1.3207,0.6304
99.1479,1.0654,99.247,1.5369,99.1903,0.9851,99.0911,0.9102,0.2617
99.2622,0.8895,99.3614,1.9994,99.2553,1.3188,99.1561,1.8722,0.1723
99.185,0.9201,99.2842,1.6126,99.0173,1.362,98.9183,1.6991,0.2857
99.2545,1.4324,99.3537,0.8647,99.3773,0.4134,99.278,1.5936,0.0498
99.2885,0.764,99.3878,1.1238,99.2832,0.9626,99.1839,1.3282,0.1007
99.3376,0.9637,99.437,1.6073,99.3583,0.8258,99.2589,1.1016,0.2394
99.5028,1.216,99.6023,1.708,99.4938,1.1336,99.3943,1.0808,0.0438
99.4988,1.0469,99.5983,1.4848,99.4007,0.9327,99.3013,1.46,1.3885
99.4532,1.1871,99.5527,0.9316,99.4107,1.2246,99.3113,0.9631,0.276
99.3764,0.4733,99.4757,1.9713,99.3957,1.4527,99.2963,0.8725,0.0
99.274,0.9339,99.3733,1.7962,99.0419,1.4457,98.9429,1.5611,0.3164
99.3072,0.7893,99.4065,1.524,99.2066,0.7432,99.1074,1.8918,0.4583
99.3293,0.7573,99.4287,1.1521,99.281,0.4368,99.1818,1.779,0.771
99.3513,0.8954,99.4507,1.1902,99.3578,0.9182,99.2584,1.7825,0.0
99.403,0.811,99.5024,1.1995,99.5268,0.5938,99.4272,1.5287,0.23
99.4014,0.9243,99.5008,1.8388,99.3009,0.4353,99.2016,1.5726,0.6705
99.5134,1.3747,99.6129,1.6748,99.46,1.4206,99.3605,1.1992,0.6741
99.4815,0.9535,99.581,0.8169,99.3959,0.4077,99.2965,1.0882,0.3039
99.7064,0.5947,99.8061,0.8342,99.582,1.4002,99.4824,0.8099,0.24
99.7573,1.2097,99.8571,0.9826,99.6912,1.4035,99.5915,1.8714,0.8587
99.6994,0.4059,99.7991,1.9818,99.7826,1.3656,99.6828,1.8741,0.8099
99.6256,1.1252,99.7252,1.2137,99.4801,1.383,99.3806,1.1498,0.0828
99.6519,1.4142,99.7515,0.9689,99.6989,0.6474,99.5992,1.4698,0.4497
99.6153,1.2405,99.7149,1.5432,99.3959,0.6553,99.2965,0.8011,0.3389
99.7129,1.3941,99.8126,1.2918,99.5807,0.9774,99.4811,1.3726,0.8761
99.7501,0.8924,99.8498,1.7302,99.6688,0.9794,99.5691,1.1801,0.0
99.7372,0.5629,99.8369,1.5846,99.9175,1.1493,99.8176,1.7026,0.5557
99.6787,0.9539,99.7784,1.8729,99.5981,1.43,99.4985,1.7688,0.0
99.5374,1.4812,99.637,1.129,99.2531,0.6229,99.1538,1.3306,0.7423
99.5205,0.4625,99.62,1.9742,99.2405,1.0473,99.1412,1.4683,0.3856
99.5491,0.4353,99.6487,1.5348,99.5418,1.1878,99.4423,1.3001,1.1557
99.5793,1.233,99.6789,1.0724,99.6241,0.6434,99.5245,0.9937,0.7606
99.4733,1.3107,99.5728,1.2594,99.5233,1.048,99.4237,1.665,0.267
99.4858,0.6653,99.5853,1.0018,99.5155,1.4693,99.416,1.5411,0.0542
99.5142,0.6873,99.6137,1.4143,99.6226,0.7516,99.523,1.0011,0.6531
99.4652,0.6892,99.5646,0.8429,99.3819,1.1749,99.2825,1.3905,0.4834
99.4846,0.5036,99.5841,1.7051,99.5744,0.4226,99.4748,1.0993,0.1057
99.4801,1.3797,99.5796,1.6622,99.2697,0.4803,99.1704,1.7854,0.8232
99.3693,1.0608,99.4686,1.6182,99.2723,1.4929,99.173,1.0788,0.3915
99.4278,1.0863,99.5272,1.3524,99.1768,0.4434,99.0776,0.8174,0.5144
99.4648,1.0239,99.5642,1.4641,99.3871,0.435,99.2877,1.3632,0.1077
99.5403,1.4171,99.6398,1.2771,99.5219,1.0874,99.4224,1.7358,0.4356
99.6374,1.3437,99.7371,1.2697,99.6208,1.3776,99.5212,1.0883,0.9243
99.5086,0.7082,99.6081,0.8637,99.4939,1.2751,99.3944,1.3005,0.1435
99.4374,1.3915,99.5368,1.8007,99.3077,1.0089,99.2083,1.5393,0.1409
99.5043,0.9218,99.6039,1.27,99.4215,1.407,99.322,0.9507,0.0
99.5172,0.948,99.6168,1.3492,99.3055,0.9708,99.2062,0.9679,0.0673
99.5665,0.9645,99.6661,1.0909,99.7285,0.6028,99.6288,0.8778,0.2548
99.8936,1.0893,99.9935,1.6731,99.8021,1.1472,99.7023,1.3646,0.9257
99.9311,0.8267,100.031,1.2512,99.8399,1.1041,99.74,1.3938,0.3292
99.9929,1.0934,100.0929,1.1615,100.1563,0.4204,100.0561,1.8664,0.3359
100.0731,0.6496,100.1731,1.9151,99.9156,1.1892,99.8157,1.7152,0.1798
100.1189,0.9734,100.219,1.0065,99.9591,0.736,99.8591,1.1858,0.1527
100.1217,0.5756,100.2218,1.0462,99.9478,1.2674,99.8479,1.0006,0.4277
100.1742,1.4736,100.2744,1.1975,100.1547,0.5305,100.0545,1.4845,0.2991
100.0982,1.397,100.1983,1.7409,100.1398,1.0848,100.0396,1.1781,0.0915
100.1164,1.1468,100.2165,1.6701,100.1374,1.4615,100.0372,1.1125,0.4316
100.0583,0.4203,100.1583,1.4547,100.3245,1.1775,100.2242,1.7485,0.1836
100.0519,0.9639,100.1519,1.1967,99.7867,1.3466,99.6869,1.3685,0.1218
100.2487,1.2795,100.3489,1.4967,100.2874,1.2504,100.1871,1.1992,0.2149
100.1074,1.0007,100.2075,1.0568,100.0144,0.9231,99.9144,1.1818,0.6722
100.1351,0.6934,100.2352,1.9604,100.081,0.5761,99.9809,1.7448,0.0323
100.015,0.4445,100.115,1.2835,99.9301,1.4287,99.8302,0.8141,0.6961
100.0012,1.0467,100.1012,1.4017,99.8653,1.3607,99.7654,0.9008,0.8037
100.0727,1.136,100.1728,1.9308,100.2373,1.3054,100.1371,0.8504,0.8069
100.0818,0.9182,100.1818,1.2775,100.1631,0.7412,100.0629,1.3416,0.0
99.9904,1.4772,100.0904,0.9064,99.9565,1.4145,99.8565,1.3763,0.0
99.9157,1.0861,100.0156,1.7962,100.0958,0.7965,99.9957,1.3165,0.0
99.9755,1.4181,100.0755,1.7947,99.7927,0.5199,99.6929,0.9297,0.0
99.9297,0.8707,100.0296,0.9184,99.7591,1.081,99.6594,0.9724,0.3187
99.9364,0.7483,100.0363,1.6126,99.6751,0.9324,99.5754,1.9739,0.4037
99.9329,1.3615,100.0328,1.2309,99.8636,0.45,99.7638,1.8148,0.7077
99.9165,1.3988,100.0164,1.0828,99.9095,1.3991,99.8096,1.1714,0.0687
100.0942,1.4741,100.1943,1.1375,100.0573,1.4488,99.9573,0.8643,0.4984
100.1364,0.9257,100.2365,1.0682,100.1255,1.1762,100.0254,1.029,1.0414
99.9771,1.0081,100.0771,1.1039,99.7706,1.4512,99.6708,0.8344,0.1795
99.9645,0.8555,100.0645,1.0793,100.053,0.9405,99.953,1.847,0.143
99.9439,1.1833,100.0439,1.496,99.91,0.4979,99.8101,1.6328,0.5635
99.9777,0.6751,100.0777,1.3005,100.0361,0.7855,99.9361,1.8306,0.2095
99.9483,0.5392,100.0482,1.4788,99.6762,0.5563,99.5765,1.6458,0.3504
99.9411,0.9369,100.041,1.9129,99.9388,0.9731,99.8389,1.3851,0.7072
99.9687,1.0362,100.0687,1.6271,99.8094,0.5176,99.7095,1.7853,0.1364
100.0501,1.2648,100.1502,1.2523,99.9354,0.5104,99.8354,1.5605,0.3602
99.9356,1.3681,100.0355,1.8653,99.9913,1.4534,99.8914,1.8412,0.2352
99.8948,1.0617,99.9947,1.5276,99.9007,0.8015,99.8008,1.8854,0.7924
99.8648,0.9536,99.9647,1.3577,99.7496,1.4973,99.6498,1.3922,0.4189
99.8196,1.2954,99.9194,1.7322,99.7992,1.2674,99.6994,1.6496,0.0
99.9374,0.6796,100.0374,1.8345,99.763,1.3828,99.6632,1.033,0.4377
99.9945,1.111,100.0945,1.4544,100.0893,0.4563,99.9892,1.6946,0.7494
99.9098,0.9559,100.0097,1.5773,99.8555,0.9529,99.7557,1.3902,0.2109
99.9477,0.5747,100.0476,1.0348,100.0648,1.4703,99.9647,0.9837,0.1195
100.1445,0.6962,100.2447,1.5087,100.0601,1.0712,99.9601,0.9848,0.618
100.2323,0.661,100.3326,1.1464,100.1455,1.4318,100.0453,1.7908,0.6245
100.1124,1.1676,100.2125,0.8987,99.9573,0.8601,99.8573,1.4712,0.3227
100.0744,1.0611,100.1745,1.1929,100.1478,1.259,100.0476,1.8085,0.0
100.156,0.756,100.2562,1.8064,100.0304,0.5139,99.9304,1.8053,0.2486
100.1199,1.3987,100.22,1.2358,100.1488,0.7159,100.0486,1.4009,1.165
100.1455,0.9015,100.2457,1.2133,100.082,1.1631,99.9819,1.7115,0.7199
100.1807,0.8337,100.2809,1.6125,99.9133,0.9236,99.8134,1.9925,0.0545
100.1207,1.2018,100.2208,1.943,100.0397,1.3185,99.9397,1.8835,0.3391
100.1268,0.677,100.2269,1.2444,99.9343,0.4223,99.8344,1.4288,0.8685
99.8463,0.9556,99.9462,1.4303,99.8517,1.4714,99.7518,1.8937,0.2567
99.7821,0.8664,99.8818,1.2326,99.592,1.2783,99.4924,1.4288,0.0304
99.763,1.0293,99.8628,1.8236,99.8635,1.2865,99.7637,0.9587,0.2185
99.6405,0.7241,99.7402,0.86,99.6192,0.936,99.5196,1.2265,1.0014
99.7892,0.6767,99.889,1.6336,99.7279,1.2464,99.6281,1.0937,0.0
99.6841,0.6711,99.7838,0.8108,99.706,0.659,99.6063,0.9653,0.7702
99.6366,1.0734,99.7363,0.9999,99.7089,0.9815,99.6092,1.5081,0.0975
99.6252,1.2759,99.7248,1.3181,99.6053,0.8983,99.5057,1.4155,0.7975
99.7403,1.1843,99.8401,1.1282,99.6274,0.5337,99.5278,1.4673,0.1782
99.6411,1.1116,99.7408,1.393,99.4232,1.0823,99.3238,1.453,0.0
99.7598,1.2138,99.8596,1.6471,99.643,0.9876,99.5434,1.6147,0.3345
99.7292,0.854,99.829,1.7171,99.6519,1.0408,99.5522,0.8852,0.7614
99.669,1.3813,99.7686,0.8369,99.6563,1.2232,99.5566,1.7106,0.0
99.6874,0.7637,99.7871,0.9084,99.6383,1.0189,99.5386,1.3748,1.0691
99.7078,0.515,99.8075,1.535,99.7714,1.2117,99.6716,1.7207,0.3343
99.6835,1.4484,99.7831,1.8385,99.5845,0.7262,99.485,0.9911,0.6942
99.6837,0.8789,99.7834,1.2823,99.6329,1.0333,99.5333,1.5001,0.423
99.6243,0.5153,99.724,1.8299,99.7746,0.7407,99.6748,1.9656,0.982
99.6484,0.5296,99.7481,1.9499,99.6762,0.5001,99.5765,1.0772,0.4198
99.6834,1.3353,99.7831,1.3209,99.6723,1.4214,99.5726,1.5084,0.3563
99.8306,1.093,99.9305,1.8145,99.7209,0.7265,99.6212,1.2251,0.4521
99.7398,0.8508,99.8395,1.989,99.6207,0.9195,99.5211,1.4646,0.3401
99.8859,0.9828,99.9858,1.1861,99.7695,0.4825,99.6697,1.8748,0.2683
99.7374,1.2544,99.8372,1.551,99.6725,0.8501,99.5728,1.1048,0.5106
99.7302,1.3457,99.8299,1.6402,99.7984,1.0025,99.6986,1.5315,0.3801
99.8007,0.6131,99.9005,1.0501,99.7488,1.1274,99.6491,1.8935,0.0883
99.8265,0.8441,99.9264,1.0493,99.6229,1.1136,99.5233,1.8454,0.599
99.734,0.9902,99.8338,1.7023,99.9456,0.5541,99.8457,1.2179,0.534
99.7496,0.8285,99.8494,1.4136,99.772,1.422,99.6722,1.8492,0.3355
99.6927,0.7934,99.7924,1.1489,99.5148,1.0762,99.4153,1.8833,0.328
99.6464,1.4585,99.7461,1.5843,99.5528,1.322,99.4532,1.4302,0.4432
99.7307,1.0106,99.8304,1.6909,99.6871,0.6419,99.5875,1.242,0.0
99.7666,0.8004,99.8664,1.9513,99.934,0.8883,99.8341,1.7061,0.1069
99.7127,1.0291,99.8124,1.8732,99.555,0.9227,99.4554,1.9341,0.7135
99.7678,0.6359,99.8676,0.889,99.8709,1.3806,99.771,1.8172,0.4819
99.7825,0.8206,99.8823,1.9215,99.9367,0.8753,99.8368,1.4466,0.8077
99.8669,0.8907,99.9668,1.4778,99.7334,0.9176,99.6336,0.8576,0.3487
99.8931,1.0478,99.993,0.967,99.8622,0.4037,99.7623,1.0943,0.7522
99.8409,1.175,99.9407,0.919,99.6768,1.3998,99.5771,1.058,0.2075
99.7868,0.4154,99.8866,1.7262,99.7614,1.3625,99.6616,1.537,0.2215
99.86,0.607,99.9599,1.1423,99.8019,0.9235,99.7021,1.9452,0.6907
99.8901,0.8834,99.99,1.1574,99.9613,0.9015,99.8613,0.8854,0.083
99.8863,1.2786,99.9861,1.092,99.9936,1.198,99.8936,0.882,0.4552
99.9283,1.4646,100.0283,1.3735,99.8018,1.2001,99.702,1.2449,0.4682
99.9938,0.6028,100.0938,1.3317,99.7449,0.5823,99.6452,1.9785,0.4658
99.9647,1.0891,100.0646,1.4457,99.9507,1.1284,99.8508,0.9394,0.1021
99.9956,1.0105,100.0956,1.1447,100.0343,1.4342,99.9343,1.7145,0.09
99.9713,0.4123,100.0712,1.0908,99.9772,1.1467,99.8772,1.0773,0.1813
99.9537,0.9599,100.0537,1.8654,99.8916,1.1631,99.7917,1.2736,0.1374
100.0479,0.5947,100.1479,1.5608,100.035,0.8006,99.935,1.8228,0.0
100.145,1.2322,100.2452,1.5326,100.2797,0.8006,100.1795,1.0519,0.3735
100.1838,0.6472,100.284,1.0342,100.2005,0.5819,100.1003,1.7326,0.9381
100.3183,0.6519,100.4186,1.432,100.2476,0.8967,100.1474,1.4955,0.2874
